EIIN,INSTITUTE NAME
103086,ALI KADAM GOVT. HIGH SCHOOL
103087,ALIKADAM RESIDENTIAL SCHOOL
103088,ALI KADAM GIRLS HIGH SCHOOL
103089,CHAYKONG MODEL HIGH SCHOOL
103091,DONBOSCO HIGH SCHOOL
103092,BANDARBAN GOVT. HIGH SCHOOL
103093,BANDARBAN GOVT. GIRLS HIGH SCHOOL
103094,RAJBILA HIGH SCHOOL
103095,BAGMARA JUNIOR HIGH SCHOOL
103096,MRO ABASIK HIGH SCHOOL
103097,BALA GHATA BALKICHH BEGUM HIGH SCHOOL
103098,SUALOK HIGH SCHOOL
103099,AL-FAROQUE INSTITUTE
103100,CHIMBUK HIGH SCHOOL
103101,RAISA HIGH SCHOOL
103102,CHEMIDUL PARA HIGH SCHOOL
103103,SANGU HIGH SCHOOL
103108,LAMA GOVT. HIGH SCHOOL
103109,CHAMBI HIGH SCHOOL
103110,FASIAKHALI HIGH SCHOOL
103111,GAZALIA HIGH SCHOOL
103112,SAROI JUNIOR HIGH SCHOOL
103113,LAMA GIRLS HIGH SCHOOL
103114,RUPASHI PARA HIGH SCHOOL
103115,HAIDERNASHI HIGH SCHOOL
103116,FAITONG JUNIOR HIGH SCHOOL
103117,LAMA MUKH HIGH SCHOOL
103118,YEANGCHA JUNIOR HIGH SCHOOL
103120,HARGAZA JUNIOR HIGH SCHOOL
103126,NAIKKHANG CHHARI GIRLS HIGH SCHOOL
103127,GUMDUM HIGH SCHOOL
103128,NAIKKHANG CHHARI S. A. GOVT. HIGH SCHOOL
103129,BAISHARI HIGH SCHOOL
103131,SONAICHARI HIGH SCHOOL
103137,ROANGCHHARI GOVT. HIGH SCHOOL
103141,RUMA GOVT. HIGH SCHOOL
103143,RUMA UPAJATIYO RESIDENTIAL HIGH SCHOOL
103144,RUMA JUNIOR HIGH SCHOOL
103147,BALIPARA BAZAR HIGH SCHOOL
103148,THANCHI HIGH SCHOOL
104002,UPAKULIYO ADARSHA HIGH SCHOOL
104003,ANWARA GOVT. MODEL HIGH SCHOOL
104004,POROIKORA NOYON TARA HIGH SCHOOL
104005,BOTTALI SHAH MOHSEN AULIA(R.) HIGH SCHOOL
104006,ANOWARA GIRLS HIGH SCHOOL
104007,NITYA NANDA HIGH SCHOOL
104008,KOINPURA HIGH SCHOOL
104009,TOILARDWIP BARAKHAIN ERSHAD ALI HIGH SCHOOL
104010,CHATARI UNION HIGH SCHOOL
104011,BOSHIRUZZAMAN MEMORIAL EDUCATION CENTRE
104012,ROYPUR UNION HIGH SCHOOL
104013,BORUMCHARA SHAHID BASHARUZZAMAN HIGH SCHOOL
104014,SINGHARA RAMKANAI HIGH SCHOOL
104015,EAST BOROIYA T. M. C. HIGH SCHOOL
